,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
50,ACTS High School,"#17, Aziz Nagar (V), Moinabad (M)
Hyderabad - 500075, Andhra Pradesh, India
Mobile : 9949357720
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School
Established in 2001",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,Established in 2001,"#17, Aziz Nagar (V), Moinabad (M)
Hyderabad - 500075, Andhra Pradesh, India
Mobile : 9949357720
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School
Established in 2001",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,Established in 2001
51,ACTS Preschool and Child Care - Chandanagar,"H.No. 1-56/2/9, Jawahar Nagar, Road No. 1, Chandanagar
Hyderabad - 500050, Andhra Pradesh, India
Phone: (040) 23030267
Mobile : 8886777707
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 1-56/2/9, Jawahar Nagar, Road No. 1, Chandanagar
Hyderabad - 500050, Andhra Pradesh, India
Phone: (040) 23030267
Mobile : 8886777707
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
52,ACTS Preschool and Child Care - Miyapur,"1-42/PE/95 Pragati Enclave, Land Mark Near R.V. Avaneendra, Miyapur
Hyderabad - 500049, Andhra Pradesh, India
Mobile : 8886555897, 8886777717
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"1-42/PE/95 Pragati Enclave, Land Mark Near R.V. Avaneendra, Miyapur
Hyderabad - 500049, Andhra Pradesh, India
Mobile : 8886555897, 8886777717
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
53,Adam Kinder Garden School,"16-8-235, Kaldera
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24568883
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"16-8-235, Kaldera
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24568883
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
54,Adams High School,"Malakpet, Kaladera
Hyderabad - 500024, Andhra Pradesh, India
Phone: (040) 24411604
Details:
Nursery - Class V
Private School
Co-Educational School
Established in 1971",Nursery - Class V,Private School,Co-Educational School,Established in 1971,,"Malakpet, Kaladera
Hyderabad - 500024, Andhra Pradesh, India
Phone: (040) 24411604
","Nursery - Class V
Private School
Co-Educational School
Established in 1971",Nursery - Class V,Private School,,Co-Educational School,Established in 1971
55,Adarsh Convent School,"Plot No. 9, Old Vasavi Nagar, Karkhana Secunderabad
Hyderabad - 500009, Andhra Pradesh, India
Phone: (040) 27743375
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Plot No. 9, Old Vasavi Nagar, Karkhana Secunderabad
Hyderabad - 500009, Andhra Pradesh, India
Phone: (040) 27743375
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
56,Adarsh Junior College,"Adarsha Education Society, Ramnagar, Hanomkonda
Warangal - 500038, Andhra Pradesh, India
Phone: (0870) 6599465
Fax : (0870) 2460011
Details:
High Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Intermediate Education,Private School,Co-Educational School,,"Adarsha Education Society, Ramnagar, Hanomkonda
Warangal - 500038, Andhra Pradesh, India
Phone: (0870) 6599465
Fax : (0870) 2460011
","High Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Intermediate Education,Co-Educational School,
57,Adarsh Nursery School and Baby Care Center,"H.No. 295, Post Office- Adarsh Nagar, Hill Fort
Hyderabad - 500063, Andhra Pradesh, India
Phone: (040) 23234876
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 295, Post Office- Adarsh Nagar, Hill Fort
Hyderabad - 500063, Andhra Pradesh, India
Phone: (040) 23234876
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
58,Adarsh Play School,"P.No. 45, H.No. 3-13-1/15, Brahmam Gari Temple Street, Srinivaspuram, Ramanthpur
Hyderabad, Andhra Pradesh, India
Phone: (040) 27033377, 27034488
Details:
Play School
Private School
Co-Educational School",Play School,Private School,Co-Educational School,,,"P.No. 45, H.No. 3-13-1/15, Brahmam Gari Temple Street, Srinivaspuram, Ramanthpur
Hyderabad, Andhra Pradesh, India
Phone: (040) 27033377, 27034488
","Play School
Private School
Co-Educational School",Play School,Private School,,Co-Educational School,
59,Adarsh Public School,"Vuda Colony, Vinayak Nagar, Pedagantyada
Vishakhapatnam - 530044, Andhra Pradesh, India
Phone: (0891) 2511251, 2756927
Mobile : 8885589595
Details:
Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1995",Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1995,"Vuda Colony, Vinayak Nagar, Pedagantyada
Vishakhapatnam - 530044, Andhra Pradesh, India
Phone: (0891) 2511251, 2756927
Mobile : 8885589595
","Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1995",Class V - Class XII,Private School,CBSE Board,Co-Educational School,Established in 1995
60,Adarsh School,"TPT Colony, Near Gurudwara, NH-5, Seethammadhara
Vishakhapatnam - 530013, Andhra Pradesh, India
Phone: (0891) 2703860, 2724614, 2723322
Mobile : 9440128485
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School
Established in 2005",Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 2005,"TPT Colony, Near Gurudwara, NH-5, Seethammadhara
Vishakhapatnam - 530013, Andhra Pradesh, India
Phone: (0891) 2703860, 2724614, 2723322
Mobile : 9440128485
","Nursery - Class X
CBSE Board
Private School
Co-Educational School
Established in 2005",Nursery - Class X,Private School,CBSE Board,Co-Educational School,Established in 2005
61,Adarsha Vidyalaya High School,"G.N. Mada Street
Tirupati - 517501, Andhra Pradesh, India
Phone: (0877) 2222481
Mobile : 9393607734
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"G.N. Mada Street
Tirupati - 517501, Andhra Pradesh, India
Phone: (0877) 2222481
Mobile : 9393607734
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
62,Adhitya Techno School,"Chaitanya Nagar, Miryalguda
Nalgonda - 508001, Andhra Pradesh, India
Mobile : 9951920699, 9951020499
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Chaitanya Nagar, Miryalguda
Nalgonda - 508001, Andhra Pradesh, India
Mobile : 9951920699, 9951020499
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
63,Adi Durga High School,"29/103, Naredmet, Malkajgiri
Hyderabad - 500056, Andhra Pradesh, India
Phone: (040) 27222850
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"29/103, Naredmet, Malkajgiri
Hyderabad - 500056, Andhra Pradesh, India
Phone: (040) 27222850
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
64,Aditi Littil's Play School,"Plot No. 64, Backside of Ashok Nagar, Near Avis Pharmacy, Shankar Nagar, Ramachandra Puram
Hyderabad - 502032, Andhra Pradesh, India
Mobile : 8099652004
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 64, Backside of Ashok Nagar, Near Avis Pharmacy, Shankar Nagar, Ramachandra Puram
Hyderabad - 502032, Andhra Pradesh, India
Mobile : 8099652004
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
65,Aditya Birla Public School - ABPS Kurnool,"UltraTech Cement Limited - APCW, Village - Thummalapenta, Kolimigundla - Mandal
Kurnool - 518123, Andhra Pradesh, India
Phone: (08558) 288143 (Office) 288500 (Res)
Mobile : 9951852603
Fax : (08558) 288433
Details:
Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,CBSE Board,Private School,Co-Educational School,,"UltraTech Cement Limited - APCW, Village - Thummalapenta, Kolimigundla - Mandal
Kurnool - 518123, Andhra Pradesh, India
Phone: (08558) 288143 (Office) 288500 (Res)
Mobile : 9951852603
Fax : (08558) 288433
","Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,Private School,CBSE Board,Co-Educational School,
66,Aditya Girls High School,"Srinagar
Kakinada - 533001, Andhra Pradesh, India
Phone: (0884) 2376662
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Srinagar
Kakinada - 533001, Andhra Pradesh, India
Phone: (0884) 2376662
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
67,Aditya Public School - Amalapuram,"Near Red Bridge, Kamanagaruvu
East Godavari - 533201, Andhra Pradesh, India
Phone: (08856) 232226, 237547
Mobile : 7659816662
Details:
Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,Co-Educational School,,,"Near Red Bridge, Kamanagaruvu
East Godavari - 533201, Andhra Pradesh, India
Phone: (08856) 232226, 237547
Mobile : 7659816662
","Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,,Co-Educational School,
68,Aditya Public School - Jagannayakpuram,"Jagannayakpuram
Kakinada, Andhra Pradesh, India
Phone: (0884) 2376668, 2376444
Mobile : 9989516666
Details:
Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,Co-Educational School,,,"Jagannayakpuram
Kakinada, Andhra Pradesh, India
Phone: (0884) 2376668, 2376444
Mobile : 9989516666
","Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,,Co-Educational School,
69,Aditya Public School - Narasapuram,"Peechupalem Road, Karthikeya Nagar
West Godavari - 534275, Andhra Pradesh, India
Phone: (08814) 276662, 276663
Mobile : 9701676661
Details:
Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,Co-Educational School,,,"Peechupalem Road, Karthikeya Nagar
West Godavari - 534275, Andhra Pradesh, India
Phone: (08814) 276662, 276663
Mobile : 9701676661
","Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,,Co-Educational School,
70,Aditya Public School - Palakollu,"Brodipet, Bypass Road, Palakollu
Kakinada - 534260, Andhra Pradesh, India
Phone: (08814) 226663
Mobile : 9963176663
Details:
Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,Co-Educational School,,,"Brodipet, Bypass Road, Palakollu
Kakinada - 534260, Andhra Pradesh, India
Phone: (08814) 226663
Mobile : 9963176663
","Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,,Co-Educational School,
71,Aditya Public School - Srinagar,"Srinagar
Kakinada, Andhra Pradesh, India
Phone: (0884) 2376663, 2383564
Mobile : 9676265660
Details:
Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,Co-Educational School,,,"Srinagar
Kakinada, Andhra Pradesh, India
Phone: (0884) 2376663, 2383564
Mobile : 9676265660
","Nursery - Class X
Private School
Co-Educational School",Nursery - Class X,Private School,,Co-Educational School,
72,Aditya Talent School,"Road No. 1, Gangaraju Nagar
Kakinada - 533005, Andhra Pradesh, India
Phone: (0884) 2342915
Mobile : 7036866660, 7702276662
Details:
Class V - Class X
Private School
Co-Educational School
Established in 2002",Class V - Class X,Private School,Co-Educational School,Established in 2002,,"Road No. 1, Gangaraju Nagar
Kakinada - 533005, Andhra Pradesh, India
Phone: (0884) 2342915
Mobile : 7036866660, 7702276662
","Class V - Class X
Private School
Co-Educational School
Established in 2002",Class V - Class X,Private School,,Co-Educational School,Established in 2002
73,Aerokids Preschool - Hyder Nagar,"Plot No. 40, D. No. 1-2-47/4/40, Srinivasa Colony, Nizampet Post, Hydernagar
Hyderabad - 500059, Andhra Pradesh, India
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 40, D. No. 1-2-47/4/40, Srinivasa Colony, Nizampet Post, Hydernagar
Hyderabad - 500059, Andhra Pradesh, India
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
74,Afflatus Global School - AGS,"Towards Banglore Highway, Behing New MG Showroom, Opp. Sakshi Media Office
Anantapur - 515001, Andhra Pradesh, India
Mobile : 8897841111
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"Towards Banglore Highway, Behing New MG Showroom, Opp. Sakshi Media Office
Anantapur - 515001, Andhra Pradesh, India
Mobile : 8897841111
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
75,Agarwal Girls High School,"Carkaman, Tagarikanaka Jubilee
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24520213
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Girls Only School,,"Carkaman, Tagarikanaka Jubilee
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24520213
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,,
76,Agarwal High School,"#21-1-823, Near Hariprasad Memorial Hospital, Charkaman
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24522287
Details:
Play - Class X
CBSE Board
Private School
Boys Only School",Play - Class X,CBSE Board,Private School,Boys Only School,,"#21-1-823, Near Hariprasad Memorial Hospital, Charkaman
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24522287
","Play - Class X
CBSE Board
Private School
Boys Only School",Play - Class X,Private School,CBSE Board,,
